city,lat,lng,country,population
Qingyang,24.7816,118.5517,China,2061600
San Antonio,29.4632,-98.5238,United States,2058444
Rājkot,22.3,70.7833,India,2043000
Shangzhou,33.868,109.9244,China,2041231
Vishākhapatnam,17.7042,83.2978,India,2035922
Sanmenxia,34.7732,111.2004,China,2034872
Baicheng,45.62,122.838,China,2032356
Gujranwala,32.1567,74.19,Pakistan,2027001
Aleppo,36.2,37.16,Syria,2003671
Tijuana,32.525,-117.0333,Mexico,2002000
Bamenda,5.9614,10.1517,Cameroon,2000000
Minsk,53.9,27.5667,Belarus,1995471
Indore,22.7167,75.8472,India,1994397
Karaj,35.8272,50.9489,Iran,1973470
Kananga,-5.897,22.4488,Congo (Kinshasa),1971704
Peshawar,34.0144,71.5675,Pakistan,1970042
Sapporo,43.0619,141.3544,Japan,1959313
Sacramento,38.5677,-121.4685,United States,1957738
Tilburg,51.55,5.0833,Netherlands,1944588
Pingxiang,27.659,113.887,China,1933200
Ecatepec,19.6097,-99.06,Mexico,1929926
Almaty,43.24,76.915,Kazakhstan,1916822
Austin,30.3005,-97.7522,United States,1905945
Yinchuan,38.485,106.225,China,1901793
Santos,-23.9369,-46.325,Brazil,1897551
Blantyre,-15.7861,35.0058,Malawi,1895973
Thāne,19.1972,72.9722,India,1886941
Orlando,28.4773,-81.337,United States,1882705
Tainan,22.9833,120.1833,Taiwan,1874686
Xiping,40.082,113.2981,China,1873000
Multan,30.1978,71.4697,Pakistan,1871843
Santa Cruz,-17.8,-63.1833,Bolivia,1867673
Port Harcourt,4.8242,7.0336,Nigeria,1865000
Jixi,45.295,130.969,China,1862165
Fushun,41.881,123.957,China,1861372
Warsaw,52.23,21.0111,Poland,1860281
Beihai,21.481,109.12,China,1853227
Fuxin,42.022,121.67,China,1819339
Wuwei,37.929,102.638,China,1815059
Siping,43.1668,124.3506,China,1814733
San Juan,18.3985,-66.061,Puerto Rico,1814587
Mersin,36.8,34.6333,Turkey,1814468
Bhopāl,23.2599,77.4126,India,1798218
Mosul,36.34,43.13,Iraq,1792000
Lubumbashi,-11.6647,27.4794,Congo (Kinshasa),1786397
Davao,7.07,125.6,Philippines,1776949
Curitiba,-25.4297,-49.2711,Brazil,1773733
San Jose,37.3012,-121.848,United States,1771413
Shuyangzha,34.1299,118.7734,China,1770000
Adana,37,35.3213,Turkey,1765981
Quito,-0.22,-78.5125,Ecuador,1763275
Pittsburgh,40.4397,-79.9763,United States,1749091
Brazzaville,-4.2694,15.2711,Congo (Brazzaville),1733263
Hyderabad City,25.3792,68.3683,Pakistan,1732693
Diyarbakır,37.91,40.24,Turkey,1732396
Indianapolis,39.7771,-86.1458,United States,1729849
Pimpri-Chinchwad,18.6186,73.8037,India,1727692
Masqaţ,23.5889,58.4083,Oman,1720000
Montevideo,-34.8836,-56.1819,Uruguay,1719453
Shuozhou,39.3317,112.4329,China,1714857
Manhattan,40.7834,-73.9662,United States,1694263
Cincinnati,39.1413,-84.506,United States,1692702
Kansas City,39.1238,-94.5541,United States,1689556
Patna,25.594,85.1376,India,1684222
Tegucigalpa,14.1058,-87.2047,Honduras,1682725
Kampala,0.3136,32.5811,Uganda,1680600
Cleveland,41.4764,-81.6805,United States,1680247
Sanzhou,30.82,108.4,China,1680000
Changshu,31.656,120.753,China,1677050
Heihe,50.2401,127.521,China,1673899
Conakry,9.5092,-13.7122,Guinea,1667864
Ximeicun,24.9612,118.3849,China,1663542
Caloocan City,14.65,120.97,Philippines,1661584
Masvingo,-20.0744,30.8328,Zimbabwe,1638528
Zhongli,24.965,121.2168,Taiwan,1632616
Novosibirsk,55.05,82.95,Russia,1625631
Bilāspur,22.09,82.15,India,1625502
Semarang,-6.99,110.4225,Indonesia,1621384
Jingdezhen,29.2917,117.1986,China,1618979
Ludhiāna,30.91,75.85,India,1618879
Liaoyang,41.279,123.176,China,1604580
Chengtangcun,35.0833,117.15,China,1603659
Rājshāhi,24.3667,88.6,Bangladesh,1600000
Balandougou,13.3558,-9.5517,Mali,1596882
Jiangyin,31.839,120.295,China,1595138
Valencia,39.47,-0.3764,Spain,1595000
Āgra,27.18,78.02,India,1585704
León de los Aldama,21.1167,-101.6833,Mexico,1579803
Puebla,19.0333,-98.1833,Mexico,1576259
Columbus,39.9862,-82.9855,United States,1572546
Yopougon,5.3167,-4.0667,Côte d’Ivoire,1571065
Hebi,35.748,114.297,China,1569208
Shīrāz,29.61,52.5425,Iran,1565572
Madurai,9.9252,78.1198,India,1561129
Huzhou,30.8925,120.0875,China,1558826
Tabrīz,38.0814,46.3006,Iran,1558693
Jamshedpur,22.7925,86.1842,India,1558000
Maracaibo,10.6333,-71.6333,Venezuela,1551539
Sofia,42.7,23.33,Bulgaria,1547779
San José,9.9325,-84.08,Costa Rica,1543000
Prayagraj,25.4358,81.8464,India,1536218
Palembang,-2.9861,104.7556,Indonesia,1535952
Kawasaki,35.5167,139.7,Japan,1531646
Kōbe,34.69,135.1956,Japan,1521707
Jiaxing,30.747,120.756,China,1518654
Kigali,-1.9439,30.0594,Rwanda,1518632
Zhangjiajie,29.117,110.479,China,1517027
Baiyin,36.5451,104.1389,China,1512110
Guiping,23.4,110.0833,China,1511011
Lianjiang,21.7333,110.2833,China,1509400
Jianguang,28.1958,115.7833,China,1507402
Yucheng,30.01,103.0415,China,1507258
Xushan,30.1667,121.2333,China,1502000
Panama City,8.9833,-79.5167,Panama,1500189
Nneyi-Umuleri,6.3333,6.8333,Nigeria,1500000
Leizhou,20.9143,110.0967,China,1494700
Gwangju,35.1653,126.8486,"Korea, South",1490092
Katako-Kombe,-3.4,24.42,Congo (Kinshasa),1488922
Recife,-8.05,-34.9,Brazil,1488920
Nāsik,19.9975,73.7898,India,1486053
Valencia,10.1833,-68,Venezuela,1484430
Onitsha,6.1667,6.7833,Nigeria,1483000
Abu Dhabi,24.4667,54.3667,United Arab Emirates,1483000
Zapopan,20.7167,-103.4,Mexico,1476491
Daejeon,36.35,127.385,"Korea, South",1475221
Bronx,40.8501,-73.8662,United States,1472654
Yekaterinburg,56.8356,60.6128,Russia,1468833
Huazhou,32.688,112.087,China,1468061
Jinhua,29.079,119.647,China,1463990
Kyōto,35.0117,135.7683,Japan,1463723
Amsterdam,52.3728,4.8936,Netherlands,1459402
Pizhou,34.398,117.89,China,1458038
Kismaayo,-0.3581,42.5453,Somalia,1458000
Yangshe,31.8767,120.556,China,1447600
Virginia Beach,36.7335,-76.0435,United States,1443020
Dakar,14.6928,-17.4467,Senegal,1438725
Goiânia,-16.6667,-49.25,Brazil,1437237
Charlotte,35.2083,-80.8303,United States,1427444
Rui’an,27.7833,120.625,China,1424667
Muscat,23.6139,58.5922,Oman,1421409
Kharkiv,49.9925,36.2311,Ukraine,1421125
Wenling,28.3667,121.3667,China,1416199
Gaozhou,21.9244,110.8422,China,1414100
Farīdābād,28.4211,77.3078,India,1414050
Medina,24.47,39.61,Saudi Arabia,1411599
Khulna,22.8167,89.55,Bangladesh,1400689
Ulaanbaatar,47.9203,106.9172,Mongolia,1396288
Fuqing,25.7167,119.3833,China,1390487
Kayseri,38.7225,35.4875,Turkey,1389680
Tel Aviv-Yafo,32.08,34.78,Israel,1388400
Wuzhong,37.9978,106.1986,China,1382713
Pingdu,36.7769,119.9884,China,1378900
Sangereng,-6.2889,106.7181,Indonesia,1378466
Yangquan,37.8571,113.5804,China,1368502
Samsun,41.2903,36.3336,Turkey,1368488
Yutan,28.278,112.552,China,1368117
Copenhagen,55.6761,12.5683,Denmark,1366301
Helsinki,60.1708,24.9375,Finland,1360075
Prague,50.0875,14.4214,Czechia,1357326
Milan,45.4669,9.19,Italy,1354196
Auckland,-36.8406,174.74,New Zealand,1346091
Santiago,19.4572,-70.6889,Dominican Republic,1343423
Chizhou,30.6654,117.4916,China,1342764
Makassar,-5.1619,119.4362,Indonesia,1338663
Liangshi,27.26,111.7442,China,1335900
Porto Alegre,-30.0331,-51.23,Brazil,1332570
Huangshan,29.7149,118.3376,China,1330565
Barranquilla,10.9833,-74.8019,Colombia,1326588
Al Başrah,30.515,47.81,Iraq,1326564
Benxi,41.4868,123.685,China,1326018
Saitama,35.8614,139.6456,Japan,1325843
Guarulhos,-23.4628,-46.5328,Brazil,1324781
Juárez,31.745,-106.485,Mexico,1321004
Mandalay,21.9831,96.0844,Burma,1319452
Xintai,35.909,117.768,China,1315942
Wusong,30.9333,117.7667,China,1311726
Calgary,51.05,-114.0667,Canada,1306784
Meerut,28.98,77.71,India,1305429
Yushu,44.826,126.55,China,1304436
Belém,-1.4558,-48.5039,Brazil,1303389
Kuaidamao,41.7283,125.9397,China,1302778
Huazhou,21.664,110.6396,China,1302100
Baishan,41.944,126.4147,China,1296127
Adelaide,-34.9275,138.6,Australia,1295714
Haicheng,40.8824,122.6852,China,1293877
Milwaukee,43.0642,-87.9675,United States,1290940
Providence,41.823,-71.4187,United States,1290271
Jacksonville,30.3322,-81.6749,United States,1288298
Yicheng,31.36,119.815,China,1285785
Cacuaco,-8.8053,13.2444,Angola,1279488
Porto,41.1621,-8.622,Portugal,1278210
Rosario,-32.9575,-60.6394,Argentina,1276000
Canagatan,18,121.8,Philippines,1273219
Soweto,-26.2678,27.8585,South Africa,1271628
Bagam,1.13,104.0531,Indonesia,1269820
Jabalpur,23.1667,79.9333,India,1267564
Rucheng,32.246,120.591,China,1267066
Huaiyin,33.5819,119.028,China,1264000
